name,type,image1,link1,image2,link2
Caramel Cream,cannabis,caramel-cream-cannabis.jpg,https://www.leafly.com/strains/caramel-cream,,
Juicy Fruit,cannabis,juicy-fruit-cannabis.jpg,https://www.leafly.com/strains/juicy-fruit,,
Black Russian,both,black-russian-tomato.jpg,https://www.davesseed.com/product/black-russian-tomato/,black-russian-cannabis.jpg,https://www.leafly.com/strains/black-russian
Brandywine,both,brandywine-tomato.jpg,https://commons.wikimedia.org/wiki/File:Brandywine-Tomato.jpg,brandywine-cannabis.jpg,https://www.leafly.com/strains/brandywine
Bubblegum,both,bubblegum-tomato.jpg,https://renaissancefarms.org/product/bubble-gum-dwarf-tomato/,bubblegum-cannabis.jpg,https://www.leafly.com/strains/bubble-gum
Early Girl,both,early-girl-tomato.jpg,https://commons.wikimedia.org/wiki/File:Earlygirl.jpg,early-girl-cannabis.jpg,https://www.leafly.com/strains/early-girl
Red Dragon,both,red-dragon-tomato.jpg,https://www.plantsofdistinction.co.uk/small-fruit/small-fruit-tomatoes/tomato-red-dragon-y-ddraig-goch-0510,red-dragon-cannabis.jpg,https://www.leafly.com/strains/red-dragon
Sweet Tooth,both,sweet-tooth-tomato.jpg,https://www.davesseed.com/product/sweet-tooth-tomato/,sweet-tooth-cannabis.jpg,https://www.leafly.com/strains/sweet-tooth
Banana Legs,tomato,banana-legs-tomato.jpg,https://tatianastomatobase.com/wiki/File:Banana_Legs_Ripe.jpg,,
Berkeley Tie-Dye,tomato,berkeley-tie-dye-tomato.jpg,https://www.fruitionseeds.com/shop/vegetables/tomatoes/slicing-tomatoes/organic-berkely-pink-tie-dye-tomato/,,
Fireworks,tomato,fireworks-tomato.jpg,https://parkseed.com/fireworks-organic-tomato-seeds/p/52896/,,
Indigo Blue Chocolate,tomato,indigo-blue-chocolate-tomato.jpg,https://www.rareseeds.com/tomato-indigo-blue-chocolate,,
#Jersey Devil,tomato,,,,
#Mariana's Peace,tomato,,,,
#Mountain Delight,tomato,,,,
#Mountain Magic,tomato,,,,
#Mushroom Basket,tomato,,,,
#Orange Jazz,tomato,,,,
#Oregon Star,tomato,,,,
Sophie's Choice,tomato,sophies-choice-tomato.jpg,https://www.southernexposure.com/products/sophie-s-choice-tomato/,,
#Supersonic,tomato,,,,
#Your Majesty,tomato,,,,
